S001 | Room 1 | A | 50000 | 1 | 2 | 3 | 4
S001 | Room 1 | B | 50000 | 1 | 2
S001 | Room 1 | C | 50000 | 5 | 1 | 9 | 3 | 10
S001 | Room 1 | D | 80000 | 1 | 2 | 6
S001 | Room 1 | E | 80000 | 10 | 6 | 1 | 3 | 2
S002 | Room 1 | A | 50000 | 1 | 2
S002 | Room 1 | B | 50000 | 1 | 2
S002 | Room 1 | C | 50000 | 6
S002 | Room 1 | D | 80000 | 6
S002 | Room 1 | E | 80000 | 10 | 1
S002 | Room 5 | A | 50000
S015 | Room 2 | A | 50000
S015 | Room 2 | B | 50000
S015 | Room 2 | C | 50000
S015 | Room 2 | D | 80000
S015 | Room 2 | E | 80000
S016 | Room 3 | A | 50000
S016 | Room 3 | B | 50000
S016 | Room 3 | C | 50000
S016 | Room 3 | D | 80000
S016 | Room 3 | E | 80000
S017 | Room 4 | A | 50000
S017 | Room 4 | B | 50000
S017 | Room 4 | C | 50000
S017 | Room 4 | D | 80000
S017 | Room 4 | E | 80000
S018 | Room 1 | A | 50000
S018 | Room 1 | B | 50000
S018 | Room 1 | C | 50000
S018 | Room 1 | D | 80000
S018 | Room 1 | E | 80000
S019 | Room 5 | A | 50000
S019 | Room 5 | B | 50000
S019 | Room 5 | C | 50000
S019 | Room 5 | D | 80000
S019 | Room 5 | E | 80000
S020 | Room 2 | A | 50000
S020 | Room 2 | B | 50000
S020 | Room 2 | C | 50000
S020 | Room 2 | D | 80000
S020 | Room 2 | E | 80000
S021 | Room 5 | A | 50000
S021 | Room 5 | B | 50000
S021 | Room 5 | C | 50000
S021 | Room 5 | D | 80000
S021 | Room 5 | E | 80000
S022 | Room 3 | A | 50000
S022 | Room 3 | B | 50000
S022 | Room 3 | C | 50000
S022 | Room 3 | D | 80000
S022 | Room 3 | E | 80000
S023 | Room 2 | A | 50000
S023 | Room 2 | B | 50000
S023 | Room 2 | C | 50000
S023 | Room 2 | D | 80000
S023 | Room 2 | E | 80000
S024 | Room 1 | A | 50000
S024 | Room 1 | B | 50000
S024 | Room 1 | C | 50000
S024 | Room 1 | D | 80000
S024 | Room 1 | E | 80000
S025 | Room 4 | A | 50000
S025 | Room 4 | B | 50000
S025 | Room 4 | C | 50000
S025 | Room 4 | D | 80000
S025 | Room 4 | E | 80000
S026 | Room 2 | A | 50000
S026 | Room 2 | B | 50000
S026 | Room 2 | C | 50000
S026 | Room 2 | D | 80000
S026 | Room 2 | E | 80000
S027 | Room 5 | A | 50000
S027 | Room 5 | B | 50000
S027 | Room 5 | C | 50000
S027 | Room 5 | D | 80000
S027 | Room 5 | E | 80000
S028 | Room 3 | A | 50000
S028 | Room 3 | B | 50000
S028 | Room 3 | C | 50000
S028 | Room 3 | D | 80000
S028 | Room 3 | E | 80000
S029 | Room 4 | A | 50000
S029 | Room 4 | B | 50000
S029 | Room 4 | C | 50000
S029 | Room 4 | D | 80000
S029 | Room 4 | E | 80000
S030 | Room 1 | A | 50000
S030 | Room 1 | B | 50000
S030 | Room 1 | C | 50000
S030 | Room 1 | D | 80000
S030 | Room 1 | E | 80000
S031 | Room 5 | A | 50000
S031 | Room 5 | B | 50000
S031 | Room 5 | C | 50000
S031 | Room 5 | D | 80000
S031 | Room 5 | E | 80000
S032 | Room 3 | A | 50000
S032 | Room 3 | B | 50000
S032 | Room 3 | C | 50000
S032 | Room 3 | D | 80000
S032 | Room 3 | E | 80000
S033 | Room 2 | A | 50000
S033 | Room 2 | B | 50000
S033 | Room 2 | C | 50000
S033 | Room 2 | D | 80000
S033 | Room 2 | E | 80000
S034 | Room 5 | A | 50000
S034 | Room 5 | B | 50000
S034 | Room 5 | C | 50000
S034 | Room 5 | D | 80000
S034 | Room 5 | E | 80000
S035 | Room 1 | A | 50000
S035 | Room 1 | B | 50000
S035 | Room 1 | C | 50000
S035 | Room 1 | D | 80000
S035 | Room 1 | E | 80000
S036 | Room 4 | A | 50000
S036 | Room 4 | B | 50000
S036 | Room 4 | C | 50000
S036 | Room 4 | D | 80000
S036 | Room 4 | E | 80000
S037 | Room 2 | A | 50000
S037 | Room 2 | B | 50000
S037 | Room 2 | C | 50000
S037 | Room 2 | D | 80000
S037 | Room 2 | E | 80000
S038 | Room 5 | A | 50000
S038 | Room 5 | B | 50000
S038 | Room 5 | C | 50000
S038 | Room 5 | D | 80000
S038 | Room 5 | E | 80000
S039 | Room 3 | A | 50000
S039 | Room 3 | B | 50000
S039 | Room 3 | C | 50000
S039 | Room 3 | D | 80000
S039 | Room 3 | E | 80000
S040 | Room 1 | A | 50000
S040 | Room 1 | B | 50000
S040 | Room 1 | C | 50000
S040 | Room 1 | D | 80000
S040 | Room 1 | E | 80000
S041 | Room 5 | A | 50000
S041 | Room 5 | B | 50000
S041 | Room 5 | C | 50000
S041 | Room 5 | D | 80000
S041 | Room 5 | E | 80000
S042 | Room 2 | A | 50000
S042 | Room 2 | B | 50000
S042 | Room 2 | C | 50000
S042 | Room 2 | D | 80000
S042 | Room 2 | E | 80000
S043 | Room 4 | A | 50000
S043 | Room 4 | B | 50000
S043 | Room 4 | C | 50000
S043 | Room 4 | D | 80000
S043 | Room 4 | E | 80000
S044 | Room 1 | A | 50000
S044 | Room 1 | B | 50000
S044 | Room 1 | C | 50000
S044 | Room 1 | D | 80000
S044 | Room 1 | E | 80000
